english_id,hebrew_name,total_olim,avg_age,pct_employed,pct_female,pct_male,score,madad
misgav,יעד,3,56.7,66.7,66.7,33.3,0.619,7
hagilboa,יעל,2,23.5,0.0,50.0,50.0,-0.098,5
maale_yosef,יערה,6,34.7,50.0,66.7,33.3,0.466,7
petah_tikva,יפית,2,67.0,50.0,50.0,50.0,0.55,7
emek_yizrael,יפעת,2,58.0,50.0,0.0,100.0,1.115,8
hagalil_haelyon,יפתח,23,27.1,60.9,60.9,39.1,0.602,7
jerusalem_yerushalayim,יצהר,2,21.5,100.0,50.0,50.0,-1.196,2
gezer,יציץ,2,79.0,50.0,100.0,0.0,1.162,8
hof_hasharon,יקום,2,22.0,50.0,0.0,100.0,1.38,8
emek_hefer,יקיר,118,20.1,33.9,51.7,48.3,1.241,8
megido,יקנעם מושבה,4,36.2,75.0,25.0,75.0,0.467,7
yokneam_ilit,יקנעם עלית,1001,35.3,53.2,53.3,46.7,0.795,7
hagalil_haelyon,יראון,26,20.7,46.2,50.0,50.0,0.602,7
yeroham,ירוחם,163,36.9,50.3,51.5,48.5,-0.582,4
jerusalem_yerushalayim,ירושלים,29057,34.0,55.8,55.0,45.0,-1.196,2
drom_hasharon,ירחיב,2,58.5,100.0,50.0,50.0,1.416,8
eshkol,ישע,5,31.4,60.0,60.0,40.0,0.309,6
mate_yehuda,ישעי,1,31.0,100.0,100.0,0.0,0.757,7
gezer,ישרש,3,28.3,33.3,66.7,33.3,1.162,8
eshkol,יתד,3,53.0,100.0,33.3,66.7,0.309,6
mate_asher,כברי,14,31.1,35.7,42.9,57.1,0.52,7
ashdod,כוכב השחר,9,27.0,33.3,33.3,66.7,-0.246,5
kohav_yair,כוכב יאיר,69,34.2,40.6,53.6,46.4,1.906,9
mate_binyamin,כוכב יעקב,248,29.3,54.4,39.5,60.5,-0.081,5
hof_ashkelon,כוכב מיכאל,4,60.0,50.0,75.0,25.0,0.648,7
mevoot_hahermon,כורזים,2,19.5,50.0,50.0,50.0,0.799,7
mevoot_hahermon,כחל,2,29.0,50.0,100.0,0.0,0.799,7
misgav,כישור,4,52.5,25.0,50.0,50.0,0.619,7
mate_asher,כליל,2,22.5,0.0,50.0,50.0,0.52,7
ramat_negev,כמהין,1,25.0,100.0,100.0,0.0,0.206,6
misgav,כמון,1,31.0,100.0,100.0,0.0,0.619,7
emek_hayarden,כנרת מושבה,5,43.8,0.0,40.0,60.0,0.475,7
eshkol,כסופים,36,18.8,19.4,58.3,41.7,0.309,6
gderot,כפר אביב,6,37.2,83.3,33.3,66.7,1.76,9
mate_binyamin,כפר אדמים,29,32.2,62.1,58.6,41.4,-0.081,5
mate_yehuda,כפר אוריה,1,83.0,0.0,100.0,0.0,0.757,7
hagalil_haelyon,כפר בלום,5,47.4,40.0,60.0,40.0,0.602,7
gezer,כפר בן נון,7,15.7,28.6,28.6,71.4,1.162,8
hof_hacarmel,כפר גלים,61,18.1,0.0,63.9,36.1,1.043,8
menashe,כפר גליקסון,1,23.0,100.0,0.0,100.0,0.638,7
hagalil_haelyon,כפר גלעדי,5,36.6,40.0,60.0,40.0,0.602,7
hevel_modiin,כפר דניאל,2,47.0,0.0,100.0,0.0,0.837,7
mate_binyamin,כפר האורנים,2,17.5,50.0,100.0,0.0,-0.081,5
emek_yizrael,כפר החורש,11,37.3,72.7,45.5,54.5,1.115,8
zvulun,כפר המכבי,5,58.2,0.0,60.0,40.0,-0.014,5
zvulun,כפר הנער הדתי,2,24.5,50.0,0.0,100.0,-0.014,5
hagalil_haelyon,כפר הנשיא,6,35.5,66.7,66.7,33.3,0.602,7
